%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1771787231581846237,0.160405901097701,0.0,0.0,0.0,0.0,9.823073794660436e-05
1771787231598631381,0.15732615899415822,0.0,0.0,0.0,0.0,9.028673041814456e-05
1771787231615288257,0.1543053680198005,0.0,0.0,0.0,0.0,8.399173174727242e-05
1771787231632078886,0.15134295610200263,0.0,0.0,0.0,0.0,7.974988055420296e-05
1771787231648520708,0.14843720395103793,0.0,0.0,0.0,0.0,7.313954151424301e-05
1771787231665041446,0.14558696742156474,0.0,0.0,0.0,0.0,6.522986561550981e-05
1771787231681860446,0.1427916775127493,0.0,0.0,0.0,0.0,6.257768330748814e-05
1771787231698634147,0.14005018393563626,0.0,0.0,0.0,0.0,5.372071228110231e-05
1771787231715254068,0.13736134868861236,0.0,0.0,0.0,0.0,5.24582642293589e-05
1771787231731949806,0.13472402148268423,0.0,0.0,0.0,0.0,4.679597874576724e-05
1771787231748757839,0.13213706124443902,0.0,0.0,0.0,0.0,4.451022879439076e-05
1771787231765278816,0.12959989282932594,0.0,0.0,0.0,0.0,3.939142947922275e-05
1771787231781713247,0.12711194723663927,0.0,0.0,0.0,0.0,3.8856575447075714e-05
1771787231798878431,0.12467150210457162,0.0,0.0,0.0,0.0,3.0708095320533535e-05
1771787231815528154,0.12227741943172588,0.0,0.0,0.0,0.0,3.047140330933451e-05
1771787231831956624,0.11992969614619899,0.0,0.0,0.0,0.0,3.065525740588576e-05
1771787231848674774,0.11762718503070335,0.0,0.0,0.0,0.0,2.5204767699189834e-05
1771787231865243434,0.11532467698722226,0.0,0.0,0.0,0.0,2.709481158798266e-05
1771787231881918191,0.1108518649744873,0.0,0.0,0.0,0.0,1.8010283867421484e-05
1771787231898544073,0.10872334688351208,0.0,0.0,0.0,0.0,2.0486536111530285e-05
1771787231915192365,0.10663603338209553,0.0,0.0,0.0,0.0,1.333619499834654e-05
1771787231931869506,0.10458878646901862,0.0,0.0,0.0,0.0,1.475022566969214e-05
1771787231948436737,0.10258045892704064,0.0,0.0,0.0,0.0,1.746512458643268e-05
1771787231965070486,0.10061104768405428,0.0,0.0,0.0,0.0,1.2887110459144924e-05
1771787231981867551,0.0986794116668915,0.0,0.0,0.0,0.0,1.1493238922598292e-05
